time,timestamp,longitude,latitude,z,sea_surface_height_above_sea_level
2022-02-27T10:24:25Z,1645975465196.00,,,0,389
2022-02-27T10:04:25Z,1645974265660.00,,,0,389
2022-02-27T09:44:25Z,1645973065662.00,,,0,389
2022-02-27T09:24:25Z,1645971865669.00,,,0,388
2022-02-27T09:04:25Z,1645970665668.00,,,0,389
2022-02-27T08:44:25Z,1645969465662.00,,,0,390
2022-02-27T08:24:24Z,1645968264931.00,,,0,390
2022-02-27T08:04:25Z,1645967065651.00,,,0,389
2022-02-27T07:44:25Z,1645965865167.00,,,0,388
2022-02-27T07:24:25Z,1645964665646.00,,,0,387
2022-02-27T07:04:25Z,1645963465615.00,,,0,387
2022-02-27T06:44:25Z,1645962265600.00,,,0,387
2022-02-27T06:24:25Z,1645961065584.00,,,0,387
2022-02-27T06:04:25Z,1645959865596.00,,,0,387
2022-02-27T05:44:25Z,1645958665547.00,,,0,387
2022-02-27T05:24:25Z,1645957465534.00,,,0,387
2022-02-27T05:04:25Z,1645956265532.00,,,0,387
2022-02-27T04:44:25Z,1645955065042.00,,,0,387
2022-02-27T04:24:25Z,1645953865534.00,,,0,387
2022-02-27T04:04:24Z,1645952664778.00,,,0,387
2022-02-27T03:44:25Z,1645951465500.00,,,0,387
2022-02-27T03:24:25Z,1645950265470.00,,,0,387
2022-02-27T03:04:25Z,1645949065476.00,,,0,387
2022-02-27T02:44:25Z,1645947865440.00,,,0,387
2022-02-27T02:24:24Z,1645946664955.00,,,0,387
2022-02-27T02:04:25Z,1645945465414.00,,,0,387
2022-02-27T01:44:25Z,1645944265402.00,,,0,387
2022-02-27T01:24:25Z,1645943065400.00,,,0,387
2022-02-27T01:04:25Z,1645941865363.00,,,0,387
2022-02-27T00:44:25Z,1645940665363.00,,,0,387
2022-02-27T00:24:25Z,1645939465354.00,,,0,387
2022-02-27T00:04:25Z,1645938265340.00,,,0,387
2022-02-26T23:44:25Z,1645937065325.00,,,0,387
2022-02-26T23:24:24Z,1645935864848.00,,,0,387
2022-02-26T23:04:24Z,1645934664591.00,,,0,387
2022-02-26T22:44:24Z,1645933464840.00,,,0,387
2022-02-26T22:24:25Z,1645932265281.00,,,0,387
2022-02-26T22:04:24Z,1645931064798.00,,,0,387
2022-02-26T21:44:25Z,1645929865253.00,,,0,387
2022-02-26T21:24:25Z,1645928665245.00,,,0,387
2022-02-26T21:04:25Z,1645927465239.00,,,0,387
2022-02-26T20:44:25Z,1645926265232.00,,,0,387
2022-02-26T20:24:25Z,1645925065224.00,,,0,387
2022-02-26T20:04:25Z,1645923865213.00,,,0,387
2022-02-26T19:44:25Z,1645922665247.00,,,0,387
2022-02-26T19:24:24Z,1645921464722.00,,,0,387
2022-02-26T19:04:25Z,1645920265194.00,,,0,387
2022-02-26T18:44:25Z,1645919065176.00,,,0,387
2022-02-26T18:24:25Z,1645917865173.00,,,0,387
2022-02-26T18:04:25Z,1645916665158.00,,,0,387
2022-02-26T17:44:25Z,1645915465156.00,,,0,387
2022-02-26T17:24:24Z,1645914264696.00,,,0,387
2022-02-26T17:04:25Z,1645913065167.00,,,0,387
2022-02-26T16:44:25Z,1645911865160.00,,,0,389
2022-02-26T16:24:25Z,1645910665165.00,,,0,389
2022-02-26T16:04:24Z,1645909464701.00,,,0,389
2022-02-26T15:44:25Z,1645908265166.00,,,0,389
2022-02-26T15:24:25Z,1645907065173.00,,,0,389
2022-02-26T15:04:25Z,1645905865171.00,,,0,390
2022-02-26T14:44:25Z,1645904665177.00,,,0,388
2022-02-26T14:24:25Z,1645903465202.00,,,0,387
2022-02-26T14:04:25Z,1645902265170.00,,,0,387
2022-02-26T13:44:24Z,1645901064712.00,,,0,387
2022-02-26T13:24:24Z,1645899864493.00,,,0,387
2022-02-26T13:04:25Z,1645898665195.00,,,0,387
2022-02-26T12:44:25Z,1645897465180.00,,,0,387
2022-02-26T12:24:24Z,1645896264718.00,,,0,386
2022-02-26T12:04:24Z,1645895064496.00,,,0,386
2022-02-26T11:44:25Z,1645893865183.00,,,0,386
2022-02-26T11:24:25Z,1645892665174.00,,,0,386
2022-02-26T11:04:25Z,1645891465178.00,,,0,387
2022-02-26T10:44:25Z,1645890265191.00,,,0,388
2022-02-26T10:24:25Z,1645889065189.00,,,0,388
2022-02-26T10:04:25Z,1645887865181.00,,,0,392
2022-02-26T09:44:24Z,1645886664461.00,,,0,388
2022-02-26T09:24:25Z,1645885465181.00,,,0,387
2022-02-26T09:04:24Z,1645884264452.00,,,0,390
2022-02-26T08:44:24Z,1645883064686.00,,,0,385
2022-02-26T08:24:24Z,1645881864478.00,,,0,384
2022-02-26T08:04:25Z,1645880665124.00,,,0,384
2022-02-26T07:44:25Z,1645879465102.00,,,0,384
2022-02-26T07:24:25Z,1645878265091.00,,,0,384
2022-02-26T07:04:24Z,1645877064606.00,,,0,384
2022-02-26T06:44:25Z,1645875865053.00,,,0,383
2022-02-26T06:24:25Z,1645874665031.00,,,0,383
2022-02-26T06:04:25Z,1645873465023.00,,,0,384
2022-02-26T05:44:24Z,1645872264993.00,,,0,384
2022-02-26T05:24:24Z,1645871064976.00,,,0,383
2022-02-26T05:04:25Z,1645869865007.00,,,0,383
2022-02-26T04:44:24Z,1645868664987.00,,,0,384
2022-02-26T04:24:24Z,1645867464930.00,,,0,384
2022-02-26T04:04:24Z,1645866264196.00,,,0,384
2022-02-26T03:44:24Z,1645865064907.00,,,0,384
2022-02-26T03:24:24Z,1645863864886.00,,,0,384
2022-02-26T03:04:24Z,1645862664410.00,,,0,384
2022-02-26T02:44:24Z,1645861464865.00,,,0,384
2022-02-26T02:24:24Z,1645860264843.00,,,0,383
2022-02-26T02:04:24Z,1645859064832.00,,,0,383
2022-02-26T01:44:24Z,1645857864830.00,,,0,383
2022-02-26T01:24:24Z,1645856664808.00,,,0,383
2022-02-26T01:04:24Z,1645855464825.00,,,0,383
2022-02-26T00:44:24Z,1645854264309.00,,,0,383
2022-02-26T00:24:24Z,1645853064290.00,,,0,384
2022-02-26T00:04:24Z,1645851864276.00,,,0,383
2022-02-25T23:44:24Z,1645850664729.00,,,0,383
2022-02-25T23:24:24Z,1645849464714.00,,,0,384
2022-02-25T23:04:24Z,1645848264708.00,,,0,383
2022-02-25T22:44:24Z,1645847064674.00,,,0,383
2022-02-25T22:24:24Z,1645845864665.00,,,0,383
2022-02-25T22:04:24Z,1645844664633.00,,,0,383
2022-02-25T21:44:24Z,1645843464612.00,,,0,384
2022-02-25T21:24:24Z,1645842264592.00,,,0,383
2022-02-25T21:04:24Z,1645841064577.00,,,0,384
2022-02-25T20:44:24Z,1645839864582.00,,,0,383
2022-02-25T20:24:24Z,1645838664552.00,,,0,383
2022-02-25T20:04:24Z,1645837464547.00,,,0,383
2022-02-25T19:44:24Z,1645836264489.00,,,0,384
2022-02-25T19:24:24Z,1645835064490.00,,,0,383
2022-02-25T19:04:24Z,1645833864467.00,,,0,383
2022-02-25T18:44:24Z,1645832664440.00,,,0,383
2022-02-25T18:24:24Z,1645831464431.00,,,0,383
2022-02-25T18:04:24Z,1645830264416.00,,,0,383
2022-02-25T17:44:24Z,1645829064411.00,,,0,383
2022-02-25T17:24:23Z,1645827863683.00,,,0,383
2022-02-25T17:04:24Z,1645826664384.00,,,0,383
